client,date,p10,p25,p50,p75,p90,timestamp
mobile,2024_07_01,490.93,1165.42,2364.73,4712.28,9647.94,2024-07-01
desktop,2024_06_01,592.79,1335.18,2643.53,5257.38,10407.45,2024-06-01
mobile,2024_06_01,491.41,1159.93,2360.53,4706.96,9607.46,2024-06-01
desktop,2024_05_01,590.23,1312.92,2610.9,5196.69,10289.74,2024-05-01
mobile,2024_05_01,491.52,1146.42,2333.35,4648.52,9513.66,2024-05-01
desktop,2024_04_01,585.35,1299.09,2591.33,5162.13,10199.01,2024-04-01
mobile,2024_04_01,492.27,1137.39,2302.33,4601.14,9386.89,2024-04-01
desktop,2024_03_01,570.8,1280.77,2565.9,5114.08,10095.77,2024-03-01
mobile,2024_03_01,473.23,1116.0,2277.3,4543.38,9309.33,2024-03-01
desktop,2024_02_01,572.79,1272.87,2543.61,5076.09,10022.26,2024-02-01
mobile,2024_02_01,475.23,1113.04,2251.71,4491.47,9201.29,2024-02-01
desktop,2024_01_01,557.91,1247.4,2505.33,5009.02,9941.24,2024-01-01
mobile,2024_01_01,464.59,1093.79,2228.88,4424.7,9088.36,2024-01-01
desktop,2023_12_01,565.03,1250.26,2497.51,4994.03,9899.09,2023-12-01
mobile,2023_12_01,465.49,1089.82,2216.09,4410.41,9049.15,2023-12-01
desktop,2023_11_01,531.03,1211.68,2467.49,4948.73,9799.34,2023-11-01
mobile,2023_11_01,432.87,1058.77,2190.17,4379.12,8985.21,2023-11-01
desktop,2023_10_01,537.77,1199.4,2445.28,4951.99,9788.97,2023-10-01
mobile,2023_10_01,449.79,1058.01,2174.02,4386.05,8981.45,2023-10-01
desktop,2023_09_01,539.79,1217.57,2485.72,4984.31,9810.21,2023-09-01
mobile,2023_09_01,449.64,1053.57,2175.88,4377.44,8962.86,2023-09-01
desktop,2023_08_01,546.46,1225.89,2484.03,4967.41,9743.81,2023-08-01
mobile,2023_08_01,457.25,1062.83,2179.1,4376.82,8946.13,2023-08-01
desktop,2023_07_01,540.62,1211.14,2449.41,4882.7,9609.27,2023-07-01
mobile,2023_07_01,455.1,1054.98,2157.74,4331.29,8858.0,2023-07-01
desktop,2023_06_01,531.15,1192.28,2419.64,4831.7,9504.95,2023-06-01
mobile,2023_06_01,443.31,1036.98,2126.7,4282.9,8747.82,2023-06-01
desktop,2023_05_01,525.97,1181.17,2393.82,4791.61,9376.2,2023-05-01
mobile,2023_05_01,441.52,1025.87,2095.38,4213.41,8593.73,2023-05-01
desktop,2023_04_01,517.61,1163.66,2361.13,4721.22,9238.46,2023-04-01
mobile,2023_04_01,431.43,1009.49,2076.89,4167.78,8488.54,2023-04-01
desktop,2023_03_01,512.88,1153.97,2340.62,4674.58,9165.44,2023-03-01
mobile,2023_03_01,426.93,999.61,2058.31,4133.43,8420.36,2023-03-01
desktop,2023_02_01,503.86,1141.47,2324.81,4651.13,9135.4,2023-02-01
mobile,2023_02_01,418.29,984.14,2037.27,4101.51,8340.37,2023-02-01
desktop,2023_01_01,500.32,1117.55,2286.32,4609.43,9051.59,2023-01-01
mobile,2023_01_01,410.47,964.41,2006.59,4076.82,8296.91,2023-01-01
desktop,2022_12_01,497.64,1114.78,2280.83,4606.25,9038.48,2022-12-01
mobile,2022_12_01,410.5,966.06,2006.71,4077.99,8271.88,2022-12-01
desktop,2022_11_01,496.83,1116.47,2282.85,4597.5,8984.85,2022-11-01
mobile,2022_11_01,409.13,964.31,2003.34,4058.23,8210.55,2022-11-01
desktop,2022_10_01,499.42,1122.57,2283.98,4593.98,9004.25,2022-10-01
mobile,2022_10_01,421.03,974.47,2010.05,4058.42,8195.38,2022-10-01
desktop,2022_09_01,503.95,1126.35,2291.6,4608.96,9000.26,2022-09-01
mobile,2022_09_01,423.84,974.01,2013.96,4062.49,8191.02,2022-09-01
desktop,2022_08_01,496.53,1109.7,2262.0,4560.91,8932.58,2022-08-01
mobile,2022_08_01,420.33,970.55,2007.28,4053.2,8164.56,2022-08-01
desktop,2022_07_01,541.43,1154.15,2314.42,4628.29,9033.44,2022-07-01
mobile,2022_07_01,449.65,1001.55,2040.37,4077.92,8164.21,2022-07-01
desktop,2022_06_01,534.4,1144.59,2317.83,4648.12,9071.39,2022-06-01
