client,date,p10,p25,p50,p75,p90,timestamp
desktop,2015_07_01,249.28,656.39,1363.31,2581.64,4573.18,2015-07-01
mobile,2015_07_01,161.61,370.06,846.0,1566.62,2629.34,2015-07-01
desktop,2015_06_15,244.87,649.07,1349.27,2565.5,4604.92,2015-06-15
mobile,2015_06_15,153.47,364.34,817.89,1536.69,2562.93,2015-06-15
desktop,2015_06_01,243.58,644.67,1333.6,2529.29,4475.48,2015-06-01
mobile,2015_06_01,155.88,371.43,816.32,1527.9,2559.16,2015-06-01
desktop,2015_05_15,243.02,639.17,1328.32,2518.75,4511.14,2015-05-15
mobile,2015_05_15,155.15,359.42,805.96,1527.84,2476.26,2015-05-15
desktop,2015_05_01,239.61,632.63,1312.15,2469.12,4396.44,2015-05-01
mobile,2015_05_01,150.75,349.34,806.92,1524.04,2508.06,2015-05-01
desktop,2015_04_15,237.62,628.4,1308.0,2464.78,4400.49,2015-04-15
mobile,2015_04_15,145.54,355.86,811.68,1539.08,2592.33,2015-04-15
desktop,2015_04_01,222.0,594.33,1249.39,2347.42,4153.13,2015-04-01
mobile,2015_04_01,147.64,361.94,813.38,1535.78,2548.71,2015-04-01
desktop,2015_03_15,221.69,596.07,1246.5,2351.58,4198.91,2015-03-15
mobile,2015_03_15,149.94,367.27,806.55,1523.4,2512.48,2015-03-15
desktop,2015_03_01,234.94,616.13,1276.7,2397.22,4301.12,2015-03-01
mobile,2015_03_01,150.03,364.54,818.15,1528.06,2579.71,2015-03-01
desktop,2015_02_15,234.38,613.23,1272.43,2392.87,4277.11,2015-02-15
mobile,2015_02_15,145.46,351.25,791.34,1497.32,2523.56,2015-02-15
desktop,2015_02_01,232.27,608.86,1259.55,2357.47,4188.44,2015-02-01
mobile,2015_02_01,143.88,342.96,768.39,1461.63,2460.48,2015-02-01
desktop,2015_01_15,227.57,592.76,1239.43,2317.02,4097.55,2015-01-15
mobile,2015_01_15,144.16,340.7,765.12,1458.29,2510.89,2015-01-15
desktop,2015_01_01,225.49,588.11,1233.54,2307.29,4066.85,2015-01-01
mobile,2015_01_01,136.98,347.06,750.24,1460.85,2460.48,2015-01-01
desktop,2014_12_15,225.87,593.77,1249.36,2343.16,4145.3,2014-12-15
mobile,2014_12_15,132.63,329.72,753.79,1457.53,2494.15,2014-12-15
desktop,2014_12_01,222.52,586.44,1232.8,2322.95,4130.06,2014-12-01
mobile,2014_12_01,129.89,318.31,736.14,1427.37,2464.84,2014-12-01
desktop,2014_11_15,226.98,586.41,1228.89,2295.11,4007.71,2014-11-15
mobile,2014_11_15,132.51,311.79,718.78,1419.87,2427.63,2014-11-15
desktop,2014_11_01,230.68,589.7,1229.32,2303.35,4051.08,2014-11-01
mobile,2014_11_01,138.89,317.29,728.49,1424.23,2417.33,2014-11-01
desktop,2014_10_15,230.03,585.74,1225.54,2303.78,4106.68,2014-10-15
mobile,2014_10_15,129.42,294.13,685.59,1362.47,2359.29,2014-10-15
desktop,2014_10_01,227.32,577.11,1209.47,2265.3,3986.49,2014-10-01
mobile,2014_10_01,130.6,291.21,673.32,1360.81,2309.21,2014-10-01
desktop,2014_09_15,225.93,574.78,1204.57,2258.31,3970.59,2014-09-15
mobile,2014_09_15,126.24,279.73,644.72,1317.73,2260.52,2014-09-15
desktop,2014_09_01,224.36,569.67,1192.04,2236.51,3918.78,2014-09-01
mobile,2014_09_01,126.64,285.51,667.88,1325.08,2324.91,2014-09-01
desktop,2014_08_15,225.86,571.82,1189.08,2223.08,3906.02,2014-08-15
mobile,2014_08_15,126.02,284.31,644.8,1299.75,2237.77,2014-08-15
desktop,2014_08_01,224.25,572.18,1188.93,2209.9,3854.07,2014-08-01
mobile,2014_08_01,134.44,286.03,643.43,1298.08,2279.14,2014-08-01
desktop,2014_07_15,218.82,570.0,1184.51,2207.28,3865.11,2014-07-15
mobile,2014_07_15,125.3,279.75,640.84,1262.16,2216.01,2014-07-15
desktop,2014_07_01,216.03,565.41,1176.54,2199.4,3852.54,2014-07-01
mobile,2014_07_01,125.5,287.46,627.6,1231.29,2167.61,2014-07-01
desktop,2014_06_15,213.77,556.88,1160.97,2176.2,3806.2,2014-06-15
desktop,2014_06_01,210.69,548.32,1146.89,2148.37,3745.88,2014-06-01
mobile,2014_06_01,121.59,262.48,597.36,1175.74,2121.34,2014-06-01
desktop,2014_05_15,209.19,542.94,1136.18,2134.84,3738.33,2014-05-15
mobile,2014_05_15,117.35,258.45,598.32,1193.05,2037.57,2014-05-15
desktop,2014_05_01,210.23,541.19,1129.91,2115.21,3716.92,2014-05-01
mobile,2014_05_01,115.21,267.97,585.97,1178.59,2034.19,2014-05-01
desktop,2014_04_15,207.35,536.37,1120.25,2098.59,3690.57,2014-04-15
mobile,2014_04_15,113.83,252.77,592.89,1176.94,2059.52,2014-04-15
desktop,2014_04_01,205.32,530.56,1109.29,2079.07,3647.74,2014-04-01
mobile,2014_04_01,114.71,253.06,584.42,1168.93,2052.2,2014-04-01
desktop,2014_03_15,199.61,522.7,1095.15,2059.15,3613.56,2014-03-15
mobile,2014_03_15,108.18,257.19,570.04,1164.56,2019.16,2014-03-15
desktop,2014_03_01,199.46,521.47,1088.31,2039.39,3574.01,2014-03-01
mobile,2014_03_01,109.3,261.41,564.68,1135.16,2008.33,2014-03-01
desktop,2014_02_15,200.33,519.11,1084.24,2032.47,3560.81,2014-02-15
mobile,2014_02_15,107.88,253.72,559.97,1141.26,1978.24,2014-02-15
desktop,2014_02_01,197.75,514.08,1072.47,2012.76,3535.79,2014-02-01
mobile,2014_02_01,107.03,250.78,547.45,1128.79,1958.34,2014-02-01
desktop,2014_01_15,196.83,511.81,1072.59,2008.14,3534.96,2014-01-15
mobile,2014_01_15,107.58,248.53,550.38,1136.39,1939.39,2014-01-15
desktop,2014_01_01,195.74,515.82,1081.34,2011.02,3516.17,2014-01-01
mobile,2014_01_01,105.74,247.79,561.2,1107.24,1976.44,2014-01-01
desktop,2013_12_15,197.24,525.63,1102.36,2049.22,3570.45,2013-12-15
mobile,2013_12_15,106.95,245.74,546.56,1140.6,1966.58,2013-12-15
desktop,2013_11_15,188.66,504.44,1062.51,1987.28,3463.08,2013-11-15
mobile,2013_11_15,94.11,233.64,524.96,1100.31,1938.44,2013-11-15
desktop,2013_11_01,185.47,487.66,1025.96,1930.29,3378.7,2013-11-01
mobile,2013_11_01,94.23,228.42,518.38,1084.03,1920.16,2013-11-01
desktop,2013_10_15,186.82,487.21,1026.48,1932.55,3402.12,2013-10-15
mobile,2013_10_15,92.47,226.29,512.89,1079.96,1957.87,2013-10-15
desktop,2013_10_01,185.63,480.84,1010.01,1899.43,3343.39,2013-10-01
mobile,2013_10_01,94.23,229.84,506.15,1092.04,1924.02,2013-10-01
desktop,2013_09_15,182.31,479.12,1006.62,1896.19,3338.88,2013-09-15
mobile,2013_09_15,94.91,228.67,503.38,1059.24,1902.12,2013-09-15
desktop,2013_09_01,175.14,468.57,989.5,1862.23,3244.52,2013-09-01
mobile,2013_09_01,89.84,222.89,494.68,1050.78,1854.12,2013-09-01
desktop,2013_08_15,160.36,446.31,965.01,1835.57,3224.94,2013-08-15
mobile,2013_08_15,82.18,215.92,483.34,1022.24,1866.89,2013-08-15
desktop,2013_08_01,157.47,435.37,948.53,1818.9,3225.76,2013-08-01
mobile,2013_08_01,79.17,210.4,469.42,977.62,1837.96,2013-08-01
desktop,2013_07_01,155.21,421.66,921.65,1780.6,3165.79,2013-07-01
mobile,2013_07_01,73.03,192.61,432.29,939.64,1758.12,2013-07-01
desktop,2013_06_15,153.81,419.05,912.49,1758.63,3112.26,2013-06-15
mobile,2013_06_15,74.44,196.04,436.48,943.2,1793.44,2013-06-15
desktop,2013_06_01,152.93,415.01,904.3,1745.29,3098.13,2013-06-01
mobile,2013_06_01,76.56,197.43,439.84,972.39,1769.02,2013-06-01
desktop,2013_05_15,149.58,411.09,896.45,1727.51,3081.15,2013-05-15
mobile,2013_05_15,70.67,190.2,438.07,943.08,1758.79,2013-05-15
desktop,2013_05_01,148.25,406.77,884.02,1704.24,3039.63,2013-05-01
mobile,2013_05_01,72.49,190.54,434.66,941.47,1726.92,2013-05-01
desktop,2013_04_15,149.51,406.5,878.64,1688.96,2993.59,2013-04-15
mobile,2013_04_15,76.46,191.36,425.79,928.18,1700.54,2013-04-15
desktop,2013_04_01,148.62,402.44,872.74,1667.15,2972.84,2013-04-01
mobile,2013_04_01,76.14,190.26,419.06,901.89,1628.86,2013-04-01
desktop,2013_03_15,147.21,398.41,864.82,1657.85,2950.05,2013-03-15
mobile,2013_03_15,75.96,187.77,424.25,918.6,1688.53,2013-03-15
desktop,2013_03_01,146.51,395.29,854.83,1638.73,2907.1,2013-03-01
mobile,2013_03_01,76.53,188.34,427.55,920.54,1677.58,2013-03-01
desktop,2013_02_15,143.09,388.18,844.42,1618.73,2864.97,2013-02-15
mobile,2013_02_15,74.55,180.67,420.6,910.44,1660.51,2013-02-15
desktop,2013_02_01,139.99,385.38,837.52,1606.48,2836.91,2013-02-01
mobile,2013_02_01,75.98,179.98,412.84,896.73,1630.24,2013-02-01
desktop,2013_01_15,138.54,380.87,833.97,1607.14,2841.81,2013-01-15
mobile,2013_01_15,70.1,175.39,404.84,878.28,1615.6,2013-01-15
desktop,2013_01_01,139.77,380.7,831.54,1605.78,2840.91,2013-01-01
mobile,2013_01_01,70.34,175.13,403.67,868.8,1580.07,2013-01-01
desktop,2012_12_15,144.62,385.2,839.91,1616.48,2857.38,2012-12-15
mobile,2012_12_15,68.38,171.65,407.0,864.86,1594.72,2012-12-15
desktop,2012_12_01,141.87,380.98,840.91,1617.3,2848.67,2012-12-01
mobile,2012_12_01,63.79,165.01,387.18,855.0,1564.71,2012-12-01
desktop,2012_11_15,138.52,375.16,831.12,1599.69,2823.35,2012-11-15
mobile,2012_11_15,67.17,167.21,389.76,864.72,1547.59,2012-11-15
desktop,2012_11_01,137.33,370.19,817.77,1569.94,2766.97,2012-11-01
mobile,2012_11_01,66.02,162.97,380.6,878.25,1602.1,2012-11-01
desktop,2012_10_15,137.1,366.33,810.45,1561.33,2732.28,2012-10-15
mobile,2012_10_15,65.69,167.4,387.28,864.78,1611.4,2012-10-15
desktop,2012_10_01,136.61,362.74,803.41,1545.54,2706.69,2012-10-01
mobile,2012_10_01,66.0,160.44,386.32,866.91,1569.27,2012-10-01
desktop,2012_09_15,126.35,336.73,742.81,1418.45,2412.23,2012-09-15
mobile,2012_09_15,65.68,158.17,375.92,832.9,1528.21,2012-09-15
desktop,2012_09_01,125.81,331.66,738.32,1416.59,2403.65,2012-09-01
mobile,2012_09_01,64.25,153.02,375.36,839.09,1516.38,2012-09-01
desktop,2012_08_15,126.97,331.01,748.87,1448.63,2439.24,2012-08-15
mobile,2012_08_15,61.01,137.23,301.5,714.39,1362.39,2012-08-15
desktop,2012_08_01,130.67,340.89,766.62,1471.84,2479.86,2012-08-01
mobile,2012_08_01,55.77,139.28,301.71,688.54,1304.89,2012-08-01
desktop,2012_07_15,128.38,335.64,744.64,1434.34,2412.86,2012-07-15
mobile,2012_07_15,57.86,133.62,304.47,718.29,1383.73,2012-07-15
desktop,2012_07_01,129.45,331.59,737.79,1423.16,2398.37,2012-07-01
mobile,2012_07_01,55.4,129.46,297.15,691.06,1329.43,2012-07-01
desktop,2012_06_15,127.36,326.32,723.12,1382.68,2343.75,2012-06-15
mobile,2012_06_15,50.13,120.61,301.73,703.42,1346.16,2012-06-15
desktop,2012_06_01,126.88,324.96,721.86,1382.84,2345.07,2012-06-01
mobile,2012_06_01,46.73,117.04,291.98,685.88,1249.11,2012-06-01
desktop,2012_05_15,125.58,322.98,718.09,1373.12,2321.95,2012-05-15
mobile,2012_05_15,45.87,120.55,302.79,727.52,1270.81,2012-05-15
desktop,2012_05_01,124.61,322.13,706.44,1345.39,2283.99,2012-05-01
mobile,2012_05_01,44.04,118.73,295.69,703.5,1250.25,2012-05-01
desktop,2012_04_15,124.07,313.72,698.63,1327.83,2244.95,2012-04-15
mobile,2012_04_15,46.46,118.09,303.77,705.99,1255.44,2012-04-15
desktop,2012_04_01,123.58,311.16,691.81,1320.12,2221.62,2012-04-01
mobile,2012_04_01,43.28,113.81,293.31,680.5,1232.31,2012-04-01
desktop,2012_03_15,126.73,314.33,690.83,1310.72,2215.15,2012-03-15
mobile,2012_03_15,43.42,117.26,299.43,699.12,1235.83,2012-03-15
desktop,2012_03_01,119.89,303.89,669.58,1275.16,2147.04,2012-03-01
mobile,2012_03_01,42.81,116.7,287.87,676.65,1260.91,2012-03-01
desktop,2012_02_15,119.51,302.08,662.4,1271.6,2128.03,2012-02-15
mobile,2012_02_15,42.78,116.15,292.36,672.31,1262.38,2012-02-15
desktop,2012_02_01,119.91,302.55,660.19,1264.87,2126.72,2012-02-01
mobile,2012_02_01,42.7,113.81,295.42,672.79,1294.14,2012-02-01
desktop,2012_01_15,121.14,302.17,659.55,1255.6,2108.31,2012-01-15
mobile,2012_01_15,42.81,109.45,288.15,651.64,1240.48,2012-01-15
desktop,2012_01_01,120.21,299.5,652.65,1248.14,2097.71,2012-01-01
mobile,2012_01_01,40.82,107.48,293.77,648.53,1269.36,2012-01-01
desktop,2011_12_15,121.69,299.57,657.57,1264.98,2141.62,2011-12-15
mobile,2011_12_15,41.3,109.09,293.3,680.5,1256.63,2011-12-15
desktop,2011_12_01,119.8,297.14,651.49,1245.96,2113.97,2011-12-01
mobile,2011_12_01,41.76,106.92,293.95,656.39,1277.63,2011-12-01
desktop,2011_11_15,115.84,290.45,633.74,1215.86,2061.32,2011-11-15
mobile,2011_11_15,42.77,108.74,260.11,609.53,1184.58,2011-11-15
desktop,2011_11_01,111.09,281.28,608.67,1165.06,1972.34,2011-11-01
mobile,2011_11_01,42.56,110.91,261.74,624.77,1189.0,2011-11-01
desktop,2011_10_15,96.09,257.11,570.14,1085.33,1866.2,2011-10-15
mobile,2011_10_15,39.0,100.83,230.78,499.38,915.6,2011-10-15
desktop,2011_10_01,99.64,259.49,572.4,1096.13,1871.3,2011-10-01
mobile,2011_10_01,40.04,99.94,223.08,514.06,975.0,2011-10-01
desktop,2011_09_15,98.79,258.44,565.54,1078.98,1856.76,2011-09-15
mobile,2011_09_15,37.1,91.67,200.91,477.99,933.29,2011-09-15
desktop,2011_09_01,93.56,250.12,550.85,1068.24,1818.65,2011-09-01
mobile,2011_09_01,37.28,101.19,240.25,531.72,1049.09,2011-09-01
desktop,2011_08_15,93.21,248.92,548.8,1051.16,1791.62,2011-08-15
mobile,2011_08_15,39.11,94.74,231.77,520.88,1051.32,2011-08-15
desktop,2011_08_01,93.29,244.28,536.62,1024.84,1735.11,2011-08-01
mobile,2011_08_01,35.6,99.96,233.93,520.27,1030.81,2011-08-01
desktop,2011_07_15,98.79,249.89,549.25,1049.08,1782.38,2011-07-15
mobile,2011_07_15,38.15,93.82,231.37,499.79,999.05,2011-07-15
desktop,2011_07_01,97.87,244.79,540.37,1037.46,1789.02,2011-07-01
mobile,2011_07_01,38.71,95.5,233.41,521.85,1008.88,2011-07-01
desktop,2011_06_15,96.09,243.69,532.41,1021.25,1726.52,2011-06-15
mobile,2011_06_15,32.24,83.98,202.25,486.69,1014.32,2011-06-15
desktop,2011_06_01,97.33,242.42,524.39,1005.5,1720.29,2011-06-01
mobile,2011_06_01,37.66,86.17,202.51,475.31,984.88,2011-06-01
desktop,2011_05_16,96.66,239.93,518.86,993.24,1715.71,2011-05-16
mobile,2011_05_16,33.02,80.22,144.84,376.96,656.52,2011-05-16
desktop,2011_04_30,94.98,236.33,510.47,976.56,1687.06,2011-04-30
desktop,2011_04_15,99.32,237.45,515.75,990.76,1704.05,2011-04-15
desktop,2011_03_29,95.32,231.93,501.94,959.61,1643.27,2011-03-29
desktop,2011_03_15,92.85,228.46,496.2,950.9,1640.27,2011-03-15
desktop,2011_02_26,94.86,228.1,496.79,945.39,1633.33,2011-02-26
desktop,2011_02_11,92.53,230.39,483.54,919.48,1577.44,2011-02-11
desktop,2011_01_31,88.5,222.61,490.66,931.29,1617.67,2011-01-31
desktop,2011_01_20,87.94,221.04,483.96,930.2,1626.57,2011-01-20
desktop,2010_12_28,86.71,220.91,480.99,926.38,1600.32,2010-12-28
desktop,2010_12_16,86.74,222.87,487.85,951.55,1647.95,2010-12-16
desktop,2010_11_29,84.29,216.34,473.11,904.62,1575.63,2010-11-29
desktop,2010_11_15,85.07,217.0,467.7,899.25,1578.33,2010-11-15
