table_suffix,total_requests,total_json_requests,percent_json_requests
_01_01_desktop,53120150426223,271728609870,0.0051153584410005733
_02_01_desktop,59821490789903,304913951529,0.00509706373918159
_03_01_desktop,61381997561231,316903625472,0.0051628105643821047
_04_01_desktop,61901558657317,320177908222,0.0051723723144756996
_05_01_desktop,62074900978116,322083783130,0.0051886314445116558
_06_01_desktop,62043374690292,413512197406,0.0066648888696040371
_07_01_desktop,61521917641843,381390669101,0.00619926497287211
_08_01_desktop,59364894870456,368745222930,0.0062115030058532564
_09_01_desktop,59978412408858,369189063379,0.0061553657149563991
