table_suffix,total_requests,total_json_requests,percent_json_requests
18_01_01_desktop,50331135,848265,0.016853683112848537
18_02_01_desktop,49979983,824643,0.016499465395976624
18_03_01_desktop,49956168,820849,0.016431384408828156
18_05_01_desktop,48912215,765630,0.015653145129493725
18_06_01_desktop,48494746,785129,0.016189980663059871
18_07_01_desktop,129956213,2505473,0.01927936296512426
18_08_01_desktop,129471127,2625296,0.020277076911518657
18_09_01_desktop,129629152,2565581,0.019791697781067024
18_10_01_desktop,129986896,2626574,0.02020645219499664
18_11_01_desktop,132272892,2910024,0.022000154045168984
19_02_01_desktop,272000000,5100328,0.018751205882352941
19_03_01_desktop,333939637,6931136,0.020755655310243988
19_04_01_desktop,378545795,7943190,0.020983432136658656
19_05_01_desktop,386131666,7531692,0.019505502042922323
19_06_01_desktop,391010753,8400986,0.021485306824797219
19_07_01_desktop,413924986,7879867,0.019036944534679526
19_08_01_desktop,412671989,7702666,0.0186653473105004
19_09_01_desktop,410426130,7661925,0.018668219296856171
19_10_01_desktop,407445152,7830304,0.019218056618329822
19_11_01_desktop,44531993,758560,0.017034045613004565
19_12_01_desktop,404528941,7847809,0.01939987032967315
20_01_01_desktop,396883784,7857672,0.019798420385953586
20_02_01_desktop,357630514,7448672,0.0208278424474708
20_03_01_desktop,408982818,8852061,0.021644090192561586
20_04_01_desktop,436316950,9532780,0.021848291706292867
20_05_01_desktop,428682018,9545359,0.022266758574417275
20_06_01_desktop,469139890,10560513,0.022510371053717049
20_07_01_desktop,522565781,11799247,0.022579448232183424
20_08_01_desktop,528007479,11933195,0.022600427976134783
20_09_01_desktop,509287871,11850529,0.023268822359211457
20_10_01_desktop,507355897,12225174,0.024095854748683448
20_11_01_desktop,532631230,12862196,0.024148407520152359
20_12_01_desktop,557193476,13469234,0.024173351950732461
21_01_01_desktop,565109617,13616949,0.024096119744499059
21_02_01_desktop,523659691,12981859,0.024790640225161038
21_03_01_desktop,579860833,14198712,0.024486413277028489
21_04_01_desktop,576640719,14275185,0.024755769978845356
21_05_01_desktop,592427106,14776954,0.024943075443951749
21_06_01_desktop,595273184,15659160,0.026305838093993495
21_07_01_desktop,584173241,16150446,0.027646672025499367
21_08_01_desktop,570915936,16171871,0.028326186011385045
21_09_01_desktop,528909377,15213072,0.028763097539108291
21_10_01_desktop,520797597,15500466,0.029762936867007088
21_11_01_desktop,544816653,16340993,0.02999356372463894
21_12_01_desktop,547832627,16716069,0.030513095015058313
22_01_01_desktop,547746894,16992003,0.031021632776250849
22_02_01_desktop,500232954,16065726,0.032116488670996271
22_03_01_desktop,535454893,17233612,0.032184993031709956
22_04_01_desktop,539486508,18223518,0.033779376740224243
22_05_01_desktop,553768509,22739312,0.041062847797291413
22_06_01_desktop,539692457,22230376,0.041190822127795644
22_07_01_desktop,1316835649,54638774,0.041492477851349539
22_08_01_desktop,1803583534,74853645,0.04150273252605554
22_09_01_desktop,1746260966,75271096,0.043104150791629159
22_10_01_desktop,1781837211,75552374,0.042401389719321558
22_11_01_desktop,2086685568,87878777,0.042114048396964809
22_12_01_desktop,2155334844,90880172,0.0421652219157461
23_01_01_desktop,1187819093,49730786,0.041867306472063923
23_02_01_desktop,1098187973,46869706,0.042679128848918835
23_03_01_desktop,1207723454,52286274,0.043293250476197177
23_04_01_desktop,1207402686,52595088,0.043560519294720206
23_05_01_desktop,1225636656,51306916,0.041861440540988518
23_06_01_desktop,1227540441,51090266,0.041620026757228444
23_07_01_desktop,1189255529,49495213,0.041618652840419129
23_08_01_desktop,1199862683,48572583,0.040481784864376855
23_09_01_desktop,1212089485,50056015,0.04129729332649066
23_10_01_desktop,1270824208,55108041,0.043364015772667748
23_11_01_desktop,1269484409,52467384,0.041329679693608588
23_12_01_desktop,1240912787,51078588,0.041162109485136607
24_01_01_desktop,1131771322,47636764,0.042090449787876849
24_02_01_desktop,1249792622,52242329,0.041800798052718864
24_03_01_desktop,1266114314,52713359,0.04163396497229712
24_04_01_desktop,1278583393,53188616,0.041599645585260622
24_05_01_desktop,1288644838,53590850,0.0415869822465389
24_06_01_desktop,1312177054,54675388,0.041667690982195763
24_07_01_desktop,1298660296,54517091,0.041979485449672976
24_08_01_desktop,1230486495,50843437,0.041319784659643907
24_09_01_desktop,1252530779,52013182,0.041526470145130064
