dataset,protocol,msg,qtype,w_query,x,application/cbor+dns t7 decode,application/cbor+dns t7 encode
iotfinder,dns,r,A,False,5.9e-05,1,
iotfinder,dns,r,A,False,6e-05,28,
iotfinder,dns,r,A,False,6.1e-05,88,
iotfinder,dns,r,A,False,6.2e-05,263,
iotfinder,dns,r,A,False,6.3e-05,433,14
iotfinder,dns,r,A,False,6.4e-05,1243,40
iotfinder,dns,r,A,False,6.5e-05,3542,101
iotfinder,dns,r,A,False,6.6e-05,6266,319
iotfinder,dns,r,A,False,6.7e-05,8847,537
iotfinder,dns,r,A,False,6.8e-05,14674,1572
iotfinder,dns,r,A,False,6.9e-05,22049,3902
iotfinder,dns,r,A,False,7e-05,27110,6130
iotfinder,dns,r,A,False,7.1e-05,30669,9112
iotfinder,dns,r,A,False,7.2e-05,32733,15051
iotfinder,dns,r,A,False,7.3e-05,31679,21118
iotfinder,dns,r,A,False,7.4e-05,29305,25317
iotfinder,dns,r,A,False,7.5e-05,28244,28984
iotfinder,dns,r,A,False,7.6e-05,22021,31590
iotfinder,dns,r,A,False,7.7e-05,13996,30797
iotfinder,dns,r,A,False,7.8e-05,8880,28676
iotfinder,dns,r,A,False,7.9e-05,6139,27092
iotfinder,dns,r,A,False,8e-05,3649,22845
iotfinder,dns,r,A,False,8.1e-05,1629,15857
iotfinder,dns,r,A,False,8.2e-05,545,9712
iotfinder,dns,r,A,False,8.3e-05,233,6866
iotfinder,dns,r,A,False,8.4e-05,141,4523
iotfinder,dns,r,A,False,8.5e-05,95,2478
iotfinder,dns,r,A,False,8.6e-05,62,1094
iotfinder,dns,r,A,False,8.7e-05,39,426
iotfinder,dns,r,A,False,8.8e-05,28,162
iotfinder,dns,r,A,False,8.9e-05,17,115
iotfinder,dns,r,A,False,9e-05,12,92
iotfinder,dns,r,A,False,9.1e-05,14,51
iotfinder,dns,r,A,False,9.2e-05,10,34
iotfinder,dns,r,A,False,9.3e-05,15,36
iotfinder,dns,r,A,False,9.4e-05,8,42
iotfinder,dns,r,A,False,9.5e-05,7,47
iotfinder,dns,r,A,False,9.6e-05,8,57
iotfinder,dns,r,A,False,9.7e-05,6,95
iotfinder,dns,r,A,False,9.8e-05,19,150
iotfinder,dns,r,A,False,9.9e-05,14,206
iotfinder,dns,r,A,False,0.0001,15,277
iotfinder,dns,r,A,False,0.000101,32,315
iotfinder,dns,r,A,False,0.000102,58,410
iotfinder,dns,r,A,False,0.000103,84,525
iotfinder,dns,r,A,False,0.000104,130,685
iotfinder,dns,r,A,False,0.000105,185,969
iotfinder,dns,r,A,False,0.000106,214,1630
iotfinder,dns,r,A,False,0.000107,227,2789
iotfinder,dns,r,A,False,0.000108,221,4357
iotfinder,dns,r,A,False,0.000109,254,6386
iotfinder,dns,r,A,False,0.00011,275,8537
iotfinder,dns,r,A,False,0.000111,247,10360
iotfinder,dns,r,A,False,0.000112,254,12683
iotfinder,dns,r,A,False,0.000113,245,14453
iotfinder,dns,r,A,False,0.000114,225,16298
iotfinder,dns,r,A,False,0.000115,155,17981
iotfinder,dns,r,A,False,0.000116,115,19104
iotfinder,dns,r,A,False,0.000117,74,20081
iotfinder,dns,r,A,False,0.000118,63,20478
iotfinder,dns,r,A,False,0.000119,55,19678
iotfinder,dns,r,A,False,0.00012,32,18563
iotfinder,dns,r,A,False,0.000121,40,17373
iotfinder,dns,r,A,False,0.000122,34,16629
iotfinder,dns,r,A,False,0.000123,10,14496
iotfinder,dns,r,A,False,0.000124,5,12442
iotfinder,dns,r,A,False,0.000125,8,10390
iotfinder,dns,r,A,False,0.000126,3,8805
iotfinder,dns,r,A,False,0.000127,4,7235
iotfinder,dns,r,A,False,0.000128,,5931
iotfinder,dns,r,A,False,0.000129,1,4567
iotfinder,dns,r,A,False,0.00013,1,3419
iotfinder,dns,r,A,False,0.000131,,2361
iotfinder,dns,r,A,False,0.000132,,1728
iotfinder,dns,r,A,False,0.000133,1,1297
iotfinder,dns,r,A,False,0.000134,5,1005
iotfinder,dns,r,A,False,0.000135,1,688
iotfinder,dns,r,A,False,0.000136,1,489
iotfinder,dns,r,A,False,0.000137,7,285
iotfinder,dns,r,A,False,0.000138,4,205
iotfinder,dns,r,A,False,0.000139,3,148
iotfinder,dns,r,A,False,0.00014,1,145
iotfinder,dns,r,A,False,0.000141,3,150
iotfinder,dns,r,A,False,0.000142,1,121
iotfinder,dns,r,A,False,0.000143,1,124
iotfinder,dns,r,A,False,0.000144,6,143
iotfinder,dns,r,A,False,0.000145,4,148
iotfinder,dns,r,A,False,0.000146,3,136
iotfinder,dns,r,A,False,0.000147,4,130
iotfinder,dns,r,A,False,0.000148,4,123
iotfinder,dns,r,A,False,0.000149,6,119
iotfinder,dns,r,A,False,0.00015,8,107
iotfinder,dns,r,A,False,0.000151,1,120
iotfinder,dns,r,A,False,0.000152,1,104
iotfinder,dns,r,A,False,0.000153,3,113
iotfinder,dns,r,A,False,0.000154,,86
iotfinder,dns,r,A,False,0.000155,3,93
iotfinder,dns,r,A,False,0.000156,1,78
iotfinder,dns,r,A,False,0.000157,1,60
iotfinder,dns,r,A,False,0.000158,1,38
iotfinder,dns,r,A,False,0.000159,,29
iotfinder,dns,r,A,False,0.00016,,26
iotfinder,dns,r,A,False,0.000161,1,21
